Основные:;;;
;ИД_товара из ЕРП;число;
;Статус1;0/1;0-отмена публикации (или можно удалить)
;Артикул;текст;
;Производитель;текст;
;Описание;текст;
;ЕдИзм;число;код по классификатору
;ИД_Группы_в_структуре;число;если отсутствует или не найдена, то в корень каталога
;Норма упаковки;число;
;Мин.заказ;число;
Параметры:;;;
;Картинка;имя файла;
;Тех_документация;имя файла, имя файла;
;Принадлежности;перечисление ИД_товаров;
;Параметр1_ИД;число;
;Параметр1_имя;текст;
;Параметр1_значение;число/текст;
Кол-во:;;;
;Доступно_Кол;число;
;Доступно_Прим;текст;
;Ожидается_Кол;число;
;Ожидается_Прим;текст;
;Под заказ_статус;0/1;"1 - отображается текст из ""Под заказ_Прим"""
;Под заказ_Прим;текст;
;По запросу_статус;0/1;"1 - публикация значения из ""Под заказа_прим"""
;По запросу_прим;текст;
Маркетинг:;;;это спец предложениея
;Стратегия_статус;0/1;0 - это значит отсутсвует /или сброс, 1 - приоритет над ценами
;Стратегия_ИД;число;если потребуедтся
;Стратегия_имя;текст;"например ""Распродажа"""
;Стратегия_Цена;число;
;Стратегия_Валюта;число;
Цена:;;;
;Цена_Валюта;число;код по классификатору
;Цена_Диап1;текст  ??? Или число;"это диапазаон, например ""от1 до 100 шт"""
;Цена_Знач1;число;это цена для этого диапазона
;Цена_Диап5;текст  ??? Или число;
;Цена_Знач5;число;
;Цена_Запрос;текст;это на случай если нет ни одной цены
